"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
39035154300,39,035,154300,74.2,3.622,3
39035154400,39,035,154400,75.7,1.7268,3
39035154501,39,035,154501,77.4,1.5303,3
39035154502,39,035,154502,78.3,1.5608,3
39035154601,39,035,154601,76,1.2741,1
39035154603,39,035,154603,78.2,1.6907,3
39035154604,39,035,154604,74.7,1.3916,3
39035154700,39,035,154700,74.6,2.0104,3
39035155101,39,035,155101,81.4,1.3683,3
39035155102,39,035,155102,79.9,1.8998,3
39035156101,39,035,156101,80,3.0947,3
39035156102,39,035,156102,79.8,1.3386,3
39035160100,39,035,160100,80.3,3.0434,3
39035160200,39,035,160200,75.1,2.0234,3
39035160300,39,035,160300,79.2,1.6844,3
39035160400,39,035,160400,78.2,1.7858,3
39035160500,39,035,160500,77.4,1.2406,3
39035160601,39,035,160601,79.3,1.5768,3
39035160602,39,035,160602,70,2.0048,3
39035160700,39,035,160700,77.9,3.818,2
39035160800,39,035,160800,79.1,3.6623,2
39035160900,39,035,160900,75.9,1.6501,3
39035161000,39,035,161000,78.3,1.8116,2
39035161100,39,035,161100,78.9,1.5185,3
39035161200,39,035,161200,77.7,2.2541,3
39035161300,39,035,161300,74.8,1.7616,3
39035161400,39,035,161400,80.3,2.465,3
39035161500,39,035,161500,78.4,1.3674,3
39035161600,39,035,161600,74.3,1.9114,3
